flavor,review_key,product_title,review_text,sentiment,intent,pain_point,brand_fit,confidence
Banana,deb2799cffdcd7f1931c,Wise Foods Gluten Free Freeze Dried Fruit 156 Servings,"I eat this stuff dry right out of the bag. I'm on a low-cal diet with 0 processed sugars and this stuff is addictive like candy. I ate this entire pail of fruit within 3 days of receiving it. Kinda stupid really, considering I could have bought the equivalent in fresh fruit at a fraction of the cost. Dat convenience and space saving though!!<br /><br />Taste is what you'd expect from any freeze dried food eaten w/o hydration. Heavy cardboard top notes with a welcome and pleasant floral/fruity finish. I would rank the taste/mouth experience from best to worst as Banana-Peach-Strawberry-Apple. The Banana was especially addictive due to it's larger size and formidable crunch... An excellent potato chip alternative. The strawberry tasted as though they were made from unripened fruit, somewhat acidic/sour and not sweet. The peach tasted fine. The apple was too bland with a typical tangy apple finish that just didn't linger for long.<br /><br />Yeah, I know It's pretty stupid of me to go through so much in so little time, but I'm a 6'4&#34; 300lb monster and my diet up till then was so boring and bland that this stuff was a welcome change.<br /><br />Would I buy it again? No, just the banana perhaps, but definitely not the rest.",positive,praise,"Some freeze dried fruits (strawberry, apple) have less desirable taste",moderate,high
Raspberry Lime,6a1a31fd22422bcfafaa,Camelbak Unisex Elixir 12 Tablet Tube Pack Beverage,"These hydration tabs are yummy! I love Camelbak anyway, but these make me love them even more. They dissolve nicely, and they don't leave icky stuff in your water bottle.",positive,praise,,moderate,high
Raspberry Lime,f0b1960c94f10c40d444,Camelbak Unisex Elixir 12 Tablet Tube Pack Beverage,"I love these. I have been using these tabs in my hydration pack for years. When I use them, I find that I drink more of my water, so I am not as tired or dehydrated by the end of the day. You do need to wash out your pack after using them however, or plan on buying a new pack after it sitting in the closet for a couple weeks.",positive,praise,Need to wash hydration pack after use or risk damage,strong,high
Coconut,7f8bb3c26f532cdf57e1,Datrex 3600 Emergency Food Bar - 3 Day/72 Hour Bar - Single Pack,"Here is a quick review of the Datrex emergency ration kit.  When most people talk about survival or put themselves in a mock survival situation, they talk about shelter, fire, water, and food.  People tend to think about food last because they typically claim they are going to set a few snares and catch wild game.  This mindset is impractical and usually considered by those who have limited hunting experience and likely no trapping experience.  The fact is, it is not easy to snare small game.<br /><br />Anyway, This kit is issued by the US Coastguard and included on on their lifeboats.  This kit is designed to feed a person for three days.  This kit contains 18 bars that are individually wrapped.  There is a total of 3600 calories per pack, or 200 calories per bar.  There is also 2.8 grams of protein per bar.  Datrex also sells another style in a white package that contains 2400 calories.  These rations are designed to not induce thirst, which is good in case you are in a situation in which you have limited access to water (such as a lifeboat situation).  This pack weighs 1 pound 6 oz and has a five year shelf life.  The taste is similar to that of a coconut cookie, without the raw coconut texture.  If opened properly, the package itself can serve as a water container.  It is made out of a metallic foil type material.  Your cost on this item is around $9, available from Amazon. Highly recommended.",positive,praise,,moderate,high
Coconut,bd9a4c0f261d576b2b9c,Millennium Bars Assorted 24-Pack,"Bought these for our ""just in case"" car bags. They will fill your tummy but I probably wouldn't choose to eat them if there was something else around. When I bought them I didn't read the ingredients close and hadn't realized the sugar content is so high (that is one of the reasons I wouldn't eat them regularly) but in a ""situation"" you wouldn't be caring about the sugar. That said, I ate and liked liked the coconut and the strawberry so far. I did get a selection of all the flavors but haven't tried them all. Some have posted that they have a consistency like shortbread and I'll agree that it is somewhat like shortbread but much more crumbly. All in all, a good buy for my intentions based on the protein, calories, packaging/storage and hot/cold resistance. I would buy them again.",positive,praise,high sugar content,moderate,high
Blueberry,61a5e55d2bf35213ede0,Augason Farms Freeze Dried Whole Blueberries 12 oz No. 10 Can,"Was looking for a easy bit of fruit to add to smoothies, baking, etc. I am a fan of several Augason products (potato shreds, spinach, bell peppers, black bean burger) so choosing this was not scary.<br />I am pleased at the amount for my $. I opened the can and such a pleasant whoosh of blueberry smell rushed out, yum! I have bought small packages of freeze dried blueberries at the grocery (meant as treats for kids) and had very low expectations from those products. WOW! Was I pleasantly surprised! What a yummy treat just as is!! It is hard to keep me from the container just to nosh away! I but a small scoop (about 6 berries) in a breakfast smoothie (froze bananas, yogurt,juice,protein powder, greens powder) and these give a nice sweet berry punch.<br />I'll get some for long term stores (I live in Florida and deal with hurricane season).<br />I put this in a smaller container on my countertop. Settling does occur during shipping but my can was pretty full.",positive,praise,,moderate,high
Blueberry,d1eac88d32ec55026ad3,Augason Farms Freeze Dried Whole Blueberries 12 oz No. 10 Can,"Update 6-14-2021 - I had opened the can about 3.5 months ago to do the tests described below. Since then I have been putting them on my cereal occasionally. I had seen in others reviews and the Q&A section that the berries could last up to a year after opening. However, I noticed that by 3 months, the remaining berries, about a 1/4 of the berries, were sticking together and felt slightly gummy. I suspect moisture was getting into the can whenever I opened it. The berries don’t seem to have spoiled, but I doubt the remaining ones would be good several months from now. An identical situation occurred with a can of strawberries. They are no longer crisp as they were when new. In my opinion, these freeze-dried berries need to be consumed within a couple of months of opening.<br /><br />First, and most important, the weight of the blueberries I received was 12.1 oz, just a hair over the specified weight. So, I got what I paid for. By the way, the unopened can weighs 21 oz. By itself, the can and lid weighs 8.9 oz. So, in the future, I can tell whether I got the correct 12 oz. without having to open the can.<br /><br />And the can was nearly full, surprising me. About 5.5"" of the 7"" tall can, or 78%, was full of berries.<br /><br />Second is the number of servings. Following the printed statement on the can label, I measured out 13 grams, or 1/2 cup, of berries that was supposed to equal one serving. 13 grams did equal 1/2 cup. I actually got 25-1/3 servings from the 12.1 ounces of berries. So, the difference in the 2/3 ""missing"" serving could be due to one or two extra berries in many of the other cups full. I won't quibble over the slight ""shortage,"" especially since I got the specified 12 ounces.<br /><br />Third, the quality. The berries tasted good. Both dry and rehydrated, they had a reasonably sweet taste, just a little tart as you might expect from blueberries. The taste was slightly different from some fresh blueberries I have. The main difference is that when dry, they are very crunchy. When rehydrated, they are squishy. They do not have the firmness of fresh berries. But that should be expected.<br /><br />As for their appearance, they are shriveled as expected, but they were good-sized even when dry (see pictures). The coloring was the expected ""blue"" color of blueberries. Some had white areas on them, but when I loooked closely, these were where the outer skin and peeled off. I don't think there is anything wrong with them.<br /><br />Finally, I rehydrated some, following the directions on the label (1/2 cup of berries in 1 cup of warm water). I left them in the water for about 15 minutes to make sure they were rehydrated as much as possible. One thing I noticed was that only about 1/4 of the 1 cup of water was absorbed. There was about 3/4 cup of blueberry water left over.<br /><br />In the Q&A section, one person estimated that the rehydrated berries would be equal to 6.5 pints (2 cups to a pint - 26 servings/4 = 6.5). The rehydrated berries were actually about the same 1/2 cup in volume as the dried berries.  Four 1/2 cups of the rehydrated berries would probably be almost a pint in volume. In terms of numbers of berries, you might get about the similar numbers. I counted 36 fresh berries into a 1/2 cup and 45 dry berries into the same 1/2 cup. The rehydrated berries weighed about 2 oz while a matching 1/2 cup of fresh berries weighed 2.5 oz.<br /><br />Rehydration is not required. They can be eaten straight from the can - if you have a taste for blueberries. I would add them to my cereal, where I have blueberries most days.<br /><br />Next is the cost. These berries cost $33.65 or $2.80/ounce. But if we assume that the 12 ounces of berries were roughly equivalent to, let's say, 6 pints, then the cost per pint is $5.61/pint. But I bought a pint of fresh blueberries the other day for $3.29. Rarely do I pay more than $3.50 for a pint. I have paid as little as $2.50 a pint from a store.<br /><br />Also, for comparison, I bought two different kinds of dried blueberries at an ""organic"" food store. One carton cost $1.66/ounce while a bag was $.73/ounce. The two packages had 14 ounces and cost a combined $14.88. So, if you can find them, you can get dried blueberries a lot cheaper at a local store. But the ""best by"" dates are only a few months away. So, they are for current use, not long-term storage.<br /><br />So, we pay the extra cost for the benefit of being able to store the blueberries for an extended period of time - for emergencies. And I would buy these again for such a contingency. (Now that I've opened the can, I will need to eat them in the next few months.) But I would NOT buy these for regular or daily use if I had access to dried berries at the grocery store.<br /><br />Oh, handling the dried blueberries may turn your fingers blue.<br /><br />PS: Some people think that because they get a large can, they should get it full of berries. But the picture clearly shows that the net weight is 12 oz. (or is supposed to be). I'm not sure why they chose 12 oz., but a check of other vendors shows that they also put only 10-13 ounces of berries in their containers. Yes, Augason could put more berries in the can, but they would charge more for the berries. There is a cost associated with the production - the more berries, the higher the cost. (I've picked blueberries, so I know how long it can take.) The #10 can is a standard sized can used not only by Augason, but also other manufacturers who sell long-shelf-life food products. Using one size can is cheaper than having many different size cans. I have #10 cans with products weighing 2+ pounds. So, 12 ounces might fill only part of the can. In my case, it was most of the can. If someone got only 1/2 to 2/3 of a can full, then they might question the amount. But you have to go by weight, not apparent volume.",neutral,general_mention,berries stick together and become gummy after 3 months of opening,moderate,high
Blueberry,177ffaaa3adab22d2984,Mountain House Granola with Milk & Blueberries | Freeze Dried Backpacking & Camping Food,"Like oatmeal when hot, like crunchy cereal when cold. It’s the most versatile meal in the mountain house lineup, and one you need in your food stash for those days when a campfire isn’t in the cards - yet you need a filling meal. I de-package this into a 1qt zip-lock baggie and add 1 scoop of protein powder.",positive,praise,,moderate,high
Orange,86a8b09383fb73128fdb,"Camco TST MAX RV Toilet Treatment Singles | Features an Ultra-concentrated Biodegradable Septic Safe Formula, an Orange Scent, and is Ideal for RVing, Boating, and More | (8) 4 oz Bottles (41191)","I started living in an RV nearly 4 months now no noisy neighbors 5 inches away now.<br /><br />At first I started using some drop in packets made by Thetford just because the packets were easier even though the packets cost about 70 cents each.<br /><br />I found this orange scented TST and decided to switch to this instead of the packets because a treatment of liquid TST is only 31 cents, and I can get it locally.<br /><br />A lot of people do not like to use liquids for one reason or another. The TST Is plentiful and the packets are often sold out.<br /><br />Using luquid TST could not be easier. 2 fl OZs (60 ml) of TST treats a 40 gallon black water tank. 2 fl OZs is 1/4th a cup so  get  a 1/4 cup measuring cup and keep it with the TST.<br /><br />What I did was take one of the many scoops that came in Whey protein (most of the protein scoops are 65 cc scoops.  Now 65 cc is the same as 65 ml so I took one of these 65 cc scoops and cut the handle off and turned upside down over the lid of the TST.<br /><br />Before you do the same check the size of the scoop (usually printed on the bottom of the scoop) a few whey protein scoops are larger because of sugar and flavorings.<br /><br />First I dump the black water tank, then I fill the scoop almost full and pour it in the commode, and release it into the black water tank with the necessary amount of water. There is always a drop or three staying inside the scoop.<br /><br />Since the same product can be used to treat the grey water too I rinse the scoop with water at the vanity and then I return the scoop upside down over the lid of the TST.<br /><br />If I was bookdocking I would put a full treatment of TST in the grey water but while parked at an RV court with the grey water tank open; this is not mecessary unless the grey water tank starts to smell.<br /><br />Now the last two things.<br /><br />1. The TST works better than the packets I was using. I am very glad I switched. With the TST there is 0 odor.<br /><br />2. In another TST product I saw a 1 star review where the person dumped the black water tank three days after treating the black water tank with TST.<br /><br />That reviewer did a big NO NO. he switched to TST from another treatment without  dumping and then flushing the black water tank with water to completely remove the previous chemical. Any time you have two different chemicals in the tank there will be bad odors.<br /><br />I brought this up so others will know  how and why it happened.  TST is a great product.",positive,praise,,weak,high
Orange,40e0b4937f887e026f27,Wise Company 132 Serving Ultimate Preparedness Kit,"In an apocalypse, you don't have the luxury of time to stop and drink. A hydration backpack is a great option for drinking on the run. Well, a hydration backpack is not what I got; instead I got a whole lot of rations. &#34;Well, I'll be,&#34; I said to myself, &#34;I can't drink this!&#34; But I could! Included in these rations is orange drink. Orange, I say! I love orange! As it turns out, eating in an apocalypse is also important. Who knew? And even if zombies don't come for my wicked tasty brains, I can still keep these rations in my basement for severe weather. I can keep them in my car in case I break down. I can keep them at my dad's house because he's old and wouldn't notice!<br />So don't feel all beat up. Sure, you didn't get your $20 water backpack, but you did get $120 worth of emergency rations for $20, and let me tell ya, that's a deal I can get behind. A deal I can eat. A deal I can orange.",positive,praise,,moderate,medium
Cranberry,94e2a6c7691789600f75,"Cranimals Organic Cranberry Cat and Dog Supplement, Prevents UTIs, Incontinence and Struvite Stones, replaces antibiotics.","I bought this supplement for my older dog to help keep his urine clear and to avoid crystals. Not sure how good it's working but he's still peeing well, so it must be doing it's job!",neutral,general_mention,,moderate,high
Cranberry,e827693c64e78edb9eb5,"Cranimals Organic Cranberry Cat and Dog Supplement, Prevents UTIs, Incontinence and Struvite Stones, replaces antibiotics.","When our pup was about 2 years old, she got a UTI. In addition to the constant need to urinate, we suddenly noticed she wasn’t going. No output! We immediately made a visit to our local vet who after running test, diagnosed our pup as having a bladder stone blockage that required immediate treatment. After emergency surgery & almost losing our fur baby, we researched possible causes & treatments, supplements, etc.  our vet prescribed a special food but explained that this could be a recurring condition & that we would need to be vigilant. Our research led us to Cranimals.  We immediately made 3 changes to our pup’s diet - the special urinary diet food, water to make the meal soupy, & Cranimals. Seven years later, we are still using Cranimals & our pup has had no further bladder stone issues.",positive,praise,Recurring bladder stone issues in pets,moderate,high
Lemon Lime,8e81d80a59971c69007b,Alacer Electro-Mix (36 pkt),"I have used this product to rehydrate during warm days and strenuous workouts. I went to Whole Foods and the price was outrageous per packet ($.80) this is THE bargain. I like this product because it contains no sugar, salt and dyes. All natural. The flavor is a bland lemon lime but we can't have everything I guess. It's evervescen",neutral,praise,price per packet is high,moderate,high
Lemon Lime,02a5efacaad8d349e90e,"Cocogo Real Fruit Hydration Stick Packs, Lemon-Lime, 4.11 Ounce",I've used lots of hydration products and this is by far my favorite!,positive,praise,,moderate,high
Birthday Cake,a1b937fe850af314d30f,"Tone It Up Birthday Cake Protein Bars - Plant Based Organic Pea Protein - Granola and Nutrition Bars - Healthy Snack - Gluten Free, Non-GMO - 10g of Protein x 4 Count","Tone It Up Plant Based Birthday Cake Flavored Protein Bars are unique and I love the concept! They're very crunchy and I love the 10g of protein. To me, these taste at first like peas, and then the birthday cake flavor does come through. I love the blend of healthy ingredients. One bar has 19 carbs and 170 calories. They're a nice way to fuel up and I appreciate that they're gluten free.",positive,praise,,weak,high
Birthday Cake,ae4c659fdc5b9b502b42,"Tone It Up Birthday Cake Protein Bars - Plant Based Organic Pea Protein - Granola and Nutrition Bars - Healthy Snack - Gluten Free, Non-GMO - 10g of Protein x 4 Count","I got these to try because they sounded pretty good and seemed to have overall good ingredients. One thing that confused me was that the front says artificial flavoring and then the ingredients say natural flavors. Hoping they are natural because I stay away from artificial food. To me the flavor of these are decent. They actually kind of remind me of those cereal bars with the milk in the middle. They aren't too high in sugar which is good (8g/bar) and provide a quick protein snack. Overall ok, not sure if I would get this flavor again but would consider other kinds.",neutral,general_mention,,none,high
